date,TMK,TNK,TXK
2019-12-27,1.4,-999,-999
2019-12-26,3.8,-999,-999
2019-12-25,4.7,-999,-999
2019-12-24,5.6,-999,-999
2019-12-23,6.5,-999,-999
2019-12-22,4.1,-999,-999
2019-12-21,6.5,-999,-999
2019-12-20,6.7,-999,-999
2019-12-19,6.4,-999,-999
2019-12-18,6.2,-999,-999
2019-12-17,8.1,-999,-999
2019-12-16,5.4,-999,-999
2019-12-15,5.2,-999,-999
2019-12-14,3.5,-999,-999
2019-12-13,1.5,-999,-999
2019-12-12,4,-999,-999
2019-12-11,5.2,-999,-999
2019-12-10,3.4,-999,-999
2019-12-09,5.7,-999,-999
2019-12-08,7.9,-999,-999
2019-12-07,7.8,-999,-999
2019-12-06,6.2,-999,-999
2019-12-05,3.9,-999,-999
2019-12-04,6,-999,-999
2019-12-03,4.7,-999,-999
2019-12-02,2,-999,-999
2019-12-01,0.6,-999,-999
2019-11-30,1,-999,-999
2019-11-29,2.7,-999,-999
2019-11-28,8.3,-999,-999
2019-11-27,7.9,-999,-999
2019-11-26,5.9,-999,-999
2019-11-25,5.1,-999,-999
2019-11-24,4.9,-999,-999
2019-11-23,7.3,-999,-999
2019-11-22,7.1,-999,-999
2019-11-21,5.2,-999,-999
2019-11-20,3,-999,-999
2019-11-19,6.2,-999,-999
2019-11-18,7.4,-999,-999
2019-11-17,3.8,-999,-999
2019-11-16,6.8,-999,-999
2019-11-15,6.2,-999,-999
2019-11-14,4.3,-999,-999
2019-11-13,3.6,-999,-999
2019-11-12,5.1,-999,-999
2019-11-11,3.6,-999,-999
2019-11-10,3.9,-999,-999
2019-11-09,3.5,-999,-999
2019-11-08,5.8,-999,-999
2019-11-07,3.7,-999,-999
2019-11-06,5.4,-999,-999
2019-11-05,7.6,-999,-999
2019-11-04,9.7,-999,-999
2019-11-03,9.6,-999,-999
2019-11-02,9,-999,-999
2019-11-01,2.1,-999,-999
2019-10-31,1.3,-999,-999
2019-10-30,2.1,-999,-999
2019-10-29,4.3,-999,-999
2019-10-28,7.1,-999,-999
2019-10-27,10.2,-999,-999
2019-10-26,15,-999,-999
2019-10-25,12.8,-999,-999
2019-10-24,12.5,-999,-999
2019-10-23,11.1,-999,-999
2019-10-22,11.3,-999,-999
2019-10-21,11.6,-999,-999
2019-10-20,10.8,-999,-999
2019-10-19,11.1,-999,-999
2019-10-18,12,-999,-999
2019-10-17,12.7,-999,-999
2019-10-16,12.5,-999,-999
2019-10-15,13.8,-999,-999
2019-10-14,13.7,-999,-999
2019-10-13,13.2,-999,-999
2019-10-12,12.6,-999,-999
2019-10-11,13,-999,-999
2019-10-10,10.6,-999,-999
2019-10-09,11.3,-999,-999
2019-10-08,11.2,-999,-999
2019-10-07,7.6,-999,-999
2019-10-06,7.6,-999,-999
2019-10-05,8.7,-999,-999
2019-10-04,8.3,-999,-999
2019-10-03,8.2,-999,-999
2019-10-02,8.4,-999,-999
2019-10-01,9.5,-999,-999
2019-09-30,12.8,-999,-999
2019-09-29,13.4,-999,-999
2019-09-28,14.3,-999,-999
2019-09-27,15.2,-999,-999
2019-09-26,14.2,-999,-999
2019-09-25,14,-999,-999
2019-09-24,15.5,-999,-999
2019-09-23,15.2,-999,-999
2019-09-22,14.4,-999,-999
2019-09-21,13.8,-999,-999
2019-09-20,13,-999,-999
2019-09-19,9.8,-999,-999
2019-09-18,10.4,-999,-999
2019-09-17,10.3,-999,-999
2019-09-16,11.8,-999,-999
2019-09-15,13.7,-999,-999
2019-09-14,11.9,-999,-999
2019-09-13,15,-999,-999
2019-09-12,15.4,-999,-999
2019-09-11,13.6,-999,-999
2019-09-10,13.8,-999,-999
2019-09-09,13.3,-999,-999
2019-09-08,12.5,-999,-999
2019-09-07,13.2,-999,-999
2019-09-06,12.8,-999,-999
2019-09-05,12.4,-999,-999
2019-09-04,15.9,-999,-999
2019-09-03,15.5,-999,-999
2019-09-02,13.8,-999,-999
2019-09-01,16.7,-999,-999
2019-08-31,21,-999,-999
2019-08-30,17.4,-999,-999
2019-08-29,19.4,-999,-999
2019-08-28,24,-999,-999
2019-08-27,22.7,-999,-999
2019-08-26,22.2,-999,-999
2019-08-25,21,-999,-999
2019-08-24,19.2,-999,-999
2019-08-23,17.8,-999,-999
2019-08-22,17.1,-999,-999
2019-08-21,15.1,-999,-999
2019-08-20,15.5,-999,-999
2019-08-19,15.6,-999,-999
2019-08-18,15.8,-999,-999
2019-08-17,16.6,-999,-999
2019-08-16,17.1,-999,-999
2019-08-15,15.4,-999,-999
2019-08-14,14.6,-999,-999
2019-08-13,14.1,-999,-999
2019-08-12,17.4,-999,-999
2019-08-11,18.7,-999,-999
2019-08-10,20.2,-999,-999
2019-08-09,17.6,-999,-999
2019-08-08,17.3,-999,-999
2019-08-07,17,-999,-999
2019-08-06,19,-999,-999
2019-08-05,17.3,-999,-999
2019-08-04,16.9,-999,-999
2019-08-03,17.6,-999,-999
