date,TMK,TNK,TXK
2019-08-02,18.2,-999,-999
2019-08-01,18.5,-999,-999
2019-07-31,17.9,-999,-999
2019-07-30,19,-999,-999
2019-07-29,21.8,-999,-999
2019-07-28,21.3,-999,-999
2019-07-27,21.1,-999,-999
2019-07-26,22.5,-999,-999
2019-07-25,25.1,-999,-999
2019-07-24,23.5,-999,-999
2019-07-23,21.1,-999,-999
2019-07-22,15.9,-999,-999
2019-07-21,17,-999,-999
2019-07-20,18.8,-999,-999
2019-07-19,17.8,-999,-999
2019-07-18,17.8,-999,-999
2019-07-17,15,-999,-999
2019-07-16,15.5,-999,-999
2019-07-15,14.3,-999,-999
2019-07-14,14.3,-999,-999
2019-07-13,15.9,-999,-999
2019-07-12,16.9,-999,-999
2019-07-11,15.3,-999,-999
2019-07-10,15.4,-999,-999
2019-07-09,13.9,-999,-999
2019-07-08,13.1,-999,-999
2019-07-07,13.1,-999,-999
2019-07-06,14.7,-999,-999
2019-07-05,14.5,-999,-999
2019-07-04,13.5,-999,-999
2019-07-03,13.6,-999,-999
2019-07-02,13.9,-999,-999
2019-07-01,16.9,-999,-999
2019-06-30,20.9,-999,-999
2019-06-29,18.8,-999,-999
2019-06-28,15.6,-999,-999
2019-06-27,14.9,-999,-999
2019-06-26,21.2,-999,-999
2019-06-25,24,-999,-999
2019-06-24,19.5,-999,-999
2019-06-23,17,-999,-999
2019-06-22,14.3,-999,-999
2019-06-21,15.2,-999,-999
2019-06-20,17.2,-999,-999
2019-06-19,20.6,-999,-999
2019-06-18,21.4,-999,-999
2019-06-17,18.6,-999,-999
2019-06-16,16.8,-999,-999
2019-06-15,16.9,-999,-999
2019-06-14,18.5,-999,-999
2019-06-13,17.4,-999,-999
2019-06-12,15.9,-999,-999
2019-06-11,15.9,-999,-999
2019-06-10,14.9,-999,-999
2019-06-09,15.5,-999,-999
2019-06-08,15,-999,-999
2019-06-07,15.4,-999,-999
2019-06-06,17.6,-999,-999
2019-06-05,20.3,-999,-999
2019-06-04,15.3,-999,-999
2019-06-03,18.4,-999,-999
2019-06-02,18.8,-999,-999
2019-06-01,15.5,-999,-999
2019-05-31,15.8,-999,-999
2019-05-30,12.9,-999,-999
2019-05-29,10,-999,-999
2019-05-28,10.8,-999,-999
2019-05-27,13.1,-999,-999
2019-05-26,12.2,-999,-999
2019-05-25,11.5,-999,-999
2019-05-24,13,-999,-999
2019-05-23,13.8,-999,-999
2019-05-22,11,-999,-999
2019-05-21,15.6,-999,-999
2019-05-20,16.8,-999,-999
2019-05-19,14,-999,-999
2019-05-18,13.5,-999,-999
2019-05-17,10.9,-999,-999
2019-05-16,11.7,-999,-999
2019-05-15,9.9,-999,-999
2019-05-14,9.2,-999,-999
2019-05-13,8.8,-999,-999
2019-05-09,12.3,-999,-999
2019-05-08,9.5,-999,-999
2019-05-07,6.5,-999,-999
2019-05-06,6.4,-999,-999
2019-05-05,5.6,-999,-999
2019-05-04,4.7,-999,-999
2019-05-03,5.7,-999,-999
2019-05-02,8.1,-999,-999
2019-05-01,8.7,-999,-999
2019-04-30,11.5,-999,-999
2019-04-29,11.2,-999,-999
2019-04-28,8.8,-999,-999
2019-04-27,11.3,-999,-999
2019-04-26,12.6,-999,-999
2019-04-25,16.1,-999,-999
2019-04-24,14.2,-999,-999
2019-04-23,12.1,-999,-999
2019-04-22,11.5,-999,-999
2019-04-21,10.9,-999,-999
2019-04-20,10,-999,-999
2019-04-19,10.2,-999,-999
2019-04-18,9.7,-999,-999
2019-04-17,8.7,-999,-999
2019-04-16,6,-999,-999
2019-04-15,5.8,-999,-999
2019-04-14,4.9,-999,-999
2019-04-13,2.4,-999,-999
2019-04-12,2.9,-999,-999
2019-04-11,3.4,-999,-999
2019-04-10,2.8,-999,-999
2019-04-09,4.3,-999,-999
2019-04-08,8,-999,-999
2019-04-07,10.6,-999,-999
2019-04-06,10.1,-999,-999
2019-04-05,8.2,-999,-999
2019-04-04,8.4,-999,-999
2019-04-03,9.2,-999,-999
2019-04-02,8.1,-999,-999
2019-04-01,3.6,-999,-999
2019-03-31,5.5,-999,-999
2019-03-30,7.9,-999,-999
2019-03-29,8.2,-999,-999
2019-03-28,9,-999,-999
2019-03-27,7.3,-999,-999
2019-03-26,6,-999,-999
2019-03-25,5.2,-999,-999
2019-03-24,4.7,-999,-999
2019-03-23,6.7,-999,-999
2019-03-22,8.3,-999,-999
2019-03-21,8.3,-999,-999
2019-03-20,6.3,-999,-999
2019-03-19,4.2,-999,-999
2019-03-18,5.3,-999,-999
2019-03-17,6.8,-999,-999
2019-03-16,6.2,-999,-999
2019-03-15,6.1,-999,-999
2019-03-14,5.7,-999,-999
2019-03-13,5.3,-999,-999
2019-03-12,3.3,-999,-999
2019-03-11,2.9,-999,-999
2019-03-10,4.7,-999,-999
2019-03-09,4.8,-999,-999
2019-03-08,5.8,-999,-999
2019-03-07,8.3,-999,-999
2019-03-06,5.9,-999,-999
2019-03-05,5.9,-999,-999
2019-03-04,7.8,-999,-999
2019-03-03,8.3,-999,-999
2019-03-02,4.6,-999,-999
2019-03-01,4.5,-999,-999
2019-02-28,4.9,-999,-999
2019-02-27,5.9,-999,-999
2019-02-26,3.8,-999,-999
2019-02-25,2.6,-999,-999
2019-02-24,3.3,-999,-999
2019-02-23,2.3,-999,-999
2019-02-22,3.7,-999,-999
2019-02-21,6.8,-999,-999
2019-02-20,6.4,-999,-999
2019-02-19,6.1,-999,-999
2019-02-18,6.9,-999,-999
2019-02-17,9,-999,-999
2019-02-16,6.7,-999,-999
2019-02-15,4.9,-999,-999
2019-02-14,5,-999,-999
2019-02-13,6.6,-999,-999
2019-02-12,4.3,-999,-999
2019-02-11,4.5,-999,-999
2019-02-10,5,-999,-999
2019-02-09,6.8,-999,-999
2019-02-08,6.2,-999,-999
2019-02-07,5.3,-999,-999
2019-02-06,3.1,-999,-999
2019-02-05,3.4,-999,-999
2019-02-04,1,-999,-999
2019-02-03,0.8,-999,-999
2019-02-02,0.5,-999,-999
2019-02-01,-0.4,-999,-999
2019-01-31,-0.3,-999,-999
2019-01-30,-0.2,-999,-999
2019-01-29,-0.8,-999,-999
2019-01-28,0.5,-999,-999
2019-01-27,4.4,-999,-999
2019-01-26,2.3,-999,-999
2019-01-25,-3.8,-999,-999
2019-01-24,-5.5,-999,-999
2019-01-23,-4.7,-999,-999
2019-01-22,-0.7,-999,-999
2019-01-21,-1.4,-999,-999
2019-01-20,-2,-999,-999
2019-01-19,-0.7,-999,-999
2019-01-18,-1.5,-999,-999
2019-01-17,3,-999,-999
2019-01-16,6.4,-999,-999
2019-01-15,5.8,-999,-999
2019-01-14,1.8,-999,-999
2019-01-13,6.6,-999,-999
2019-01-12,5.8,-999,-999
2019-01-11,5.6,-999,-999
2019-01-10,0.3,-999,-999
2019-01-09,2.7,-999,-999
2019-01-08,5.3,-999,-999
2019-01-07,6.4,-999,-999
2019-01-06,3.9,-999,-999
2019-01-05,6.2,-999,-999
2019-01-04,4.8,-999,-999
2019-01-03,-2.5,-999,-999
2019-01-02,1.7,-999,-999
2019-01-01,6.2,-999,-999
2018-12-31,6.6,-999,-999
2018-12-30,5.9,-999,-999
2018-12-29,7.6,-999,-999
2018-12-28,7.2,-999,-999
2018-12-27,7,-999,-999
2018-12-26,7.5,-999,-999
2018-12-25,5.7,-999,-999
2018-12-24,2,-999,-999
2018-12-23,5.7,-999,-999
2018-12-22,4.6,-999,-999
2018-12-21,6.1,-999,-999
2018-12-20,4.9,-999,-999
2018-12-19,3.2,-999,-999
2018-12-18,4.3,-999,-999
2018-12-17,0.2,-999,-999
2018-12-16,-0.9,-999,-999
2018-12-15,-0.1,-999,-999
2018-12-14,1.3,-999,-999
2018-12-13,2.3,-999,-999
2018-12-12,3.8,-999,-999
2018-12-11,3.5,-999,-999
2018-12-10,4.7,-999,-999
2018-12-09,6.5,-999,-999
2018-12-08,7.1,-999,-999
2018-12-07,9.8,-999,-999
2018-12-06,6.5,-999,-999
2018-12-05,2.6,-999,-999
2018-12-04,4.7,-999,-999
2018-12-03,10,-999,-999
2018-12-02,8.1,-999,-999
2018-12-01,6.5,-999,-999
2018-11-30,7.6,-999,-999
2018-11-29,3.7,-999,-999
2018-11-28,0.6,-999,-999
2018-11-27,1.7,-999,-999
2018-11-26,3.9,-999,-999
2018-11-25,4.2,-999,-999
2018-11-24,2.3,-999,-999
2018-11-23,1.5,-999,-999
2018-11-22,1.6,-999,-999
2018-11-21,3.1,-999,-999
2018-11-20,4.8,-999,-999
2018-11-19,5.4,-999,-999
2018-11-18,3.7,-999,-999
2018-11-17,3.3,-999,-999
2018-11-16,5.7,-999,-999
2018-11-15,7.4,-999,-999
2018-11-14,8.6,-999,-999
2018-11-13,9,-999,-999
2018-11-12,9.3,-999,-999
2018-11-11,11.4,-999,-999
2018-11-10,10.3,-999,-999
2018-11-09,6.3,-999,-999
2018-11-08,8.9,-999,-999
2018-11-07,9.6,-999,-999
2018-11-06,8.1,-999,-999
2018-11-05,9.8,-999,-999
2018-11-04,6,-999,-999
2018-11-03,5.2,-999,-999
2018-11-02,8.6,-999,-999
2018-11-01,9.4,-999,-999
2018-10-31,7.9,-999,-999
2018-10-30,8.4,-999,-999
2018-10-29,6.2,-999,-999
2018-10-28,2.2,-999,-999
2018-10-27,4.6,-999,-999
2018-10-26,8.8,-999,-999
2018-10-25,10.7,-999,-999
2018-10-24,10.2,-999,-999
2018-10-23,11.6,-999,-999
2018-10-22,9.9,-999,-999
2018-10-21,11.2,-999,-999
2018-10-20,9.9,-999,-999
2018-10-19,7.1,-999,-999
2018-10-18,11.2,-999,-999
2018-10-17,14.8,-999,-999
2018-10-16,14,-999,-999
2018-10-15,15.6,-999,-999
2018-10-14,17,-999,-999
2018-10-13,19.4,-999,-999
2018-10-12,16.4,-999,-999
2018-10-11,15.1,-999,-999
2018-10-10,12.1,-999,-999
2018-10-09,11.6,-999,-999
2018-10-08,9.9,-999,-999
2018-10-07,8.1,-999,-999
2018-10-06,11.2,-999,-999
2018-10-05,14.8,-999,-999
2018-10-04,12.7,-999,-999
2018-10-03,10.5,-999,-999
2018-10-02,8.9,-999,-999
2018-10-01,8.3,-999,-999
2018-09-30,11.3,-999,-999
2018-09-29,9.6,-999,-999
2018-09-28,10.2,-999,-999
2018-09-27,15.9,-999,-999
2018-09-26,12.7,-999,-999
2018-09-25,8.7,-999,-999
2018-09-24,8.5,-999,-999
2018-09-23,9.8,-999,-999
2018-09-22,11.3,-999,-999
2018-09-21,14.8,-999,-999
2018-09-20,18.5,-999,-999
2018-09-19,18.3,-999,-999
2018-09-18,18.5,-999,-999
2018-09-17,16.2,-999,-999
2018-09-16,14.3,-999,-999
2018-09-15,13.3,-999,-999
2018-09-14,13.8,-999,-999
2018-09-13,12.1,-999,-999
2018-09-12,13.6,-999,-999
2018-09-11,15.5,-999,-999
2018-09-10,16.7,-999,-999
2018-09-09,16.2,-999,-999
2018-09-08,13.4,-999,-999
2018-09-07,15.1,-999,-999
2018-09-06,18,-999,-999
2018-09-05,16.9,-999,-999
2018-09-04,17.7,-999,-999
2018-09-03,18.9,-999,-999
2018-09-02,16.3,-999,-999
2018-09-01,14.5,-999,-999
2018-08-31,14.4,-999,-999
2018-08-30,15.5,-999,-999
2018-08-29,18.1,-999,-999
2018-08-28,15.6,-999,-999
2018-08-27,14.8,-999,-999
2018-08-26,13.3,-999,-999
2018-08-25,11.7,-999,-999
2018-08-24,15.5,-999,-999
2018-08-23,19.1,-999,-999
2018-08-22,20.6,-999,-999
2018-08-21,17.3,-999,-999
2018-08-20,18,-999,-999
2018-08-19,19,-999,-999
2018-08-18,17.4,-999,-999
2018-08-17,17.1,-999,-999
2018-08-16,20.2,-999,-999
2018-08-15,18.6,-999,-999
2018-08-14,19,-999,-999
2018-08-13,18.6,-999,-999
2018-08-12,15.9,-999,-999
2018-08-11,14.9,-999,-999
2018-08-10,16.8,-999,-999
2018-08-09,19.6,-999,-999
2018-08-08,22.9,-999,-999
2018-08-07,24.5,-999,-999
2018-08-06,20,-999,-999
2018-08-05,18,-999,-999
2018-08-04,21,-999,-999
2018-08-03,23,-999,-999
2018-08-02,21.5,-999,-999
2018-08-01,20.5,-999,-999
2018-07-31,25.1,-999,-999
2018-07-30,24.3,-999,-999
2018-07-29,20.8,-999,-999
2018-07-28,23.3,-999,-999
2018-07-27,24.4,-999,-999
2018-07-26,25,-999,-999
2018-07-25,24.4,-999,-999
2018-07-24,23.5,-999,-999
2018-07-23,20,-999,-999
2018-07-22,21.5,-999,-999
2018-07-21,21,-999,-999
2018-07-20,18.6,-999,-999
2018-07-19,17.2,-999,-999
2018-07-18,18.7,-999,-999
2018-07-17,22.3,-999,-999
2018-07-16,20.5,-999,-999
2018-07-15,17.8,-999,-999
2018-07-14,15.8,-999,-999
2018-07-13,17.6,-999,-999
2018-07-12,19.5,-999,-999
2018-07-11,19.5,-999,-999
2018-07-10,15.6,-999,-999
2018-07-09,14.3,-999,-999
2018-07-08,16.8,-999,-999
2018-07-07,15.8,-999,-999
2018-07-06,16.6,-999,-999
2018-07-05,16.3,-999,-999
2018-07-04,15.6,-999,-999
2018-07-03,16.5,-999,-999
2018-07-02,17.8,-999,-999
2018-07-01,17.5,-999,-999
2018-06-30,17.9,-999,-999
2018-06-29,18,-999,-999
2018-06-28,19.3,-999,-999
2018-06-27,16.8,-999,-999
2018-06-26,16,-999,-999
