STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4642;20180704;   10;  12.7;   2.3;    3;   0.0;   0;   15.750;-999;   2.3;  11.0; 1011.01;   21.5;   48.25;   30.5;    9.4;    7.3;eor
       4642;20180705;   10;  11.1;   3.8;    3;   0.0;   0;   14.917;-999;   3.2;  14.0; 1009.03;   21.3;   57.50;   29.3;   14.4;   12.7;eor
       4642;20180706;   10;  12.6;   5.1;    3;   0.0;   6;    6.550;-999;   5.1;  12.3; 1013.71;   18.5;   59.46;   25.7;   11.5;   10.1;eor
       4642;20180707;   10;  12.9;   5.1;    3;   0.0;   0;   14.733;-999;   3.2;  11.7; 1017.19;   18.1;   59.79;   25.7;   10.6;    9.7;eor
       4642;20180708;   10;   9.8;   4.0;    3;   0.0;   0;    9.867;-999;   4.4;  14.3; 1017.88;   19.9;   63.63;   27.6;   11.8;   11.2;eor
       4642;20180709;   10;  13.5;   4.6;    3;   0.2;   6;    7.100;-999;   6.2;  12.7; 1016.18;   17.3;   65.67;   25.0;   12.2;   11.4;eor
       4642;20180710;   10;   6.9;   1.8;    3;   6.7;   6;    2.800;-999;   7.3;  11.2; 1012.89;   16.2;   62.54;   21.5;   11.1;    8.7;eor
       4642;20180711;   10;   9.8;   2.5;    3;   0.2;   6;    4.067;-999;   7.1;  15.2; 1011.80;   17.1;   79.58;   22.4;   13.6;   13.1;eor
       4642;20180712;   10;  13.1;   4.6;    3;   0.0;   0;    8.117;-999;   6.0;  16.0; 1011.79;   20.6;   69.92;   27.0;   14.5;   13.3;eor
       4642;20180713;   10;   9.8;   4.2;    3;   0.0;   0;   11.033;-999;   3.2;  15.7; 1015.13;   19.9;   70.17;   27.1;   14.0;   13.2;eor
       4642;20180714;   10;  14.1;   3.9;    3;   0.0;   0;    9.517;-999;   3.5;  13.2; 1016.80;   16.9;   70.54;   23.5;   10.5;    8.5;eor
       4642;20180715;   10;   6.9;   2.1;    3;   0.0;   0;    8.067;-999;   4.5;  12.7; 1014.95;   18.1;   64.58;   25.7;   10.2;    8.1;eor
       4642;20180716;   10;   7.0;   1.6;    3;   0.0;   0;   15.133;-999;   2.2;  13.2; 1011.45;   21.0;   57.88;   30.2;    9.9;    8.2;eor
       4642;20180717;   10;  10.8;   2.7;    3;   0.0;   0;   12.667;-999;   3.3;  14.1; 1009.48;   23.2;   54.88;   31.9;   12.3;   10.8;eor
       4642;20180718;   10;  11.6;   5.1;    3;   0.0;   0;   11.050;-999;   3.8;  14.4; 1012.79;   21.5;   57.75;   26.9;   16.8;   16.0;eor
       4642;20180719;   10;  11.2;   4.0;    3;   0.0;   0;   14.550;-999;   3.2;  12.4; 1014.54;   20.8;   54.00;   27.6;   13.0;   10.2;eor
       4642;20180720;   10;   8.0;   2.4;    3;   0.0;   0;    9.950;-999;   4.4;  11.4; 1012.15;   19.5;   53.79;   27.9;   10.3;    8.4;eor
       4642;20180721;   10;   7.2;   1.7;    3;   0.0;   6;    7.933;-999;   5.4;  12.0; 1009.60;   21.4;   50.29;   29.1;   11.1;    9.4;eor
       4642;20180722;   10;  12.2;   2.4;    3;  10.0;   8;    3.500;-999;   6.1;  17.5; 1010.09;   20.9;   72.08;   30.5;   16.6;   15.2;eor
       4642;20180723;   10;   8.2;   2.7;    3;   0.0;   0;   14.917;-999;   2.1;  15.9; 1013.40;   20.9;   67.88;   28.2;   12.4;   11.6;eor
       4642;20180724;   10;   9.6;   1.5;    3;   0.0;   0;   15.100;-999;   1.1;  17.0; 1012.66;   24.2;   60.67;   32.1;   14.2;   13.3;eor
       4642;20180725;   10;   6.8;   2.1;    3;   0.0;   0;   14.617;-999;   2.1;  17.6; 1012.54;   26.2;   55.92;   34.0;   17.2;   16.1;eor
       4642;20180726;   10;   9.2;   2.7;    3;   0.0;   0;   14.650;-999;   2.5;  17.0; 1014.20;   26.3;   53.42;   34.5;   15.9;   14.4;eor
       4642;20180727;   10;  11.2;   3.0;    3;   0.0;   0;   12.967;-999;   2.6;  18.2; 1012.24;   25.7;   58.58;   33.5;   15.6;   13.8;eor
       4642;20180728;   10;  16.8;   3.3;    3;   5.1;   6;   10.050;-999;   4.5;  19.6; 1006.97;   24.1;   68.54;   33.8;   17.8;   16.2;eor
       4642;20180729;   10;   8.1;   2.4;    3;   0.0;   0;   11.483;-999;   4.4;  17.2; 1012.55;   22.4;   66.71;   28.8;   16.0;   15.6;eor
       4642;20180730;   10;   7.3;   2.5;    3;   0.0;   0;   10.167;-999;   4.2;  16.9; 1012.97;   27.6;   48.46;   34.6;   19.6;   18.2;eor
       4642;20180731;   10;   9.4;   3.3;    3;   0.0;   0;   11.567;-999;   3.8;  16.7; 1012.82;   28.7;   44.79;   37.0;   20.2;   18.8;eor
       4642;20180801;   10;   8.7;   3.8;    3;   0.0;   6;   10.567;-999;   5.2;  16.9; 1017.20;   26.0;   51.96;   31.7;   20.5;   20.2;eor
       4642;20180802;   10;   6.7;   2.0;    3;   0.0;   6;    8.917;-999;   5.1;  17.8; 1020.02;   24.2;   61.42;   30.8;   17.8;   16.1;eor
       4642;20180803;   10;   6.7;   1.9;    3;   0.0;   0;   14.417;-999;   1.3;  15.6; 1018.53;   25.4;   51.71;   33.3;   15.0;   13.4;eor
       4642;20180804;   10;  11.4;   2.7;    3;   0.0;   0;    9.067;-999;   4.5;  17.0; 1014.75;   24.8;   56.38;   33.2;   16.4;   15.1;eor
       4642;20180805;   10;  12.1;   4.2;    3;   0.0;   0;   10.617;-999;   4.5;  13.7; 1017.52;   20.7;   58.00;   26.5;   15.1;   12.7;eor
       4642;20180806;   10;   7.2;   2.2;    3;   0.0;   0;   14.350;-999;   2.1;  12.8; 1015.17;   21.6;   54.75;   30.3;   11.3;    9.4;eor
       4642;20180807;   10;   8.6;   3.2;    3;   0.0;   0;   13.350;-999;   3.1;  13.0; 1008.50;   26.5;   42.75;   36.4;   13.0;   10.1;eor
       4642;20180808;   10;  14.1;   3.9;    3;   0.0;   0;   11.000;-999;   4.0;  15.6; 1007.25;   28.2;   42.25;   36.1;   20.9;   19.7;eor
       4642;20180809;   10;  15.7;   3.3;    3;   5.3;   6;   10.367;-999;   3.5;  18.8; 1010.27;   24.3;   65.58;   33.9;   16.1;   14.3;eor
       4642;20180810;   10;  14.2;   4.8;    3;   0.0;   0;    6.400;-999;   5.5;  12.6; 1015.92;   19.6;   56.17;   24.7;   12.7;   11.0;eor
       4642;20180811;   10;  15.2;   4.8;    3;   0.2;   6;    5.033;-999;   6.6;  11.3; 1016.65;   16.7;   60.42;   21.7;   12.0;    9.8;eor
       4642;20180812;   10;   9.5;   2.7;    3;   0.0;   0;   12.300;-999;   5.5;  10.9; 1013.23;   19.4;   53.21;   27.3;   12.0;   10.4;eor
       4642;20180813;   10;  12.8;   2.6;    3;   0.4;   6;    9.150;-999;   5.7;  13.4; 1004.71;   20.9;   57.04;   30.9;   10.8;    8.4;eor
       4642;20180814;   10;  10.0;   4.3;    3;   3.3;   6;    2.650;-999;   6.3;  17.6; 1007.38;   19.0;   80.29;   25.3;   15.6;   14.1;eor
       4642;20180815;   10;   9.1;   3.6;    3;   0.0;   0;    3.117;-999;   6.4;  16.0; 1015.02;   19.0;   74.17;   24.4;   14.4;   12.6;eor
       4642;20180816;   10;  10.8;   2.5;    3;   0.0;   0;   13.133;-999;   3.1;  14.5; 1013.57;   21.6;   61.04;   30.1;   12.2;   10.5;eor
       4642;20180817;   10;  12.8;   4.0;    3;   0.0;   0;    9.417;-999;   4.5;  16.1; 1013.11;   20.8;   67.08;   28.7;   13.6;   12.4;eor
       4642;20180818;   10;   9.8;   2.6;    3;   0.0;   0;   11.717;-999;   4.2;  12.3; 1017.93;   20.2;   56.63;   27.6;   12.9;   12.0;eor
       4642;20180819;   10;  12.4;   2.8;    3;   0.0;   0;   13.267;-999;   2.8;  13.2; 1016.25;   21.4;   54.38;   29.7;   12.8;   10.9;eor
       4642;20180820;   10;  11.2;   4.1;    3;   0.0;   4;    0.767;-999;   7.3;  16.5; 1014.18;   20.7;   67.38;   25.1;   16.8;   15.2;eor
       4642;20180821;   10;  13.8;   2.4;    3;   0.0;   0;    8.550;-999;   4.5;  12.0; 1018.69;   18.1;   60.33;   24.7;   11.2;    9.0;eor
       4642;20180822;   10;   7.1;   2.3;    3;   0.0;   0;   13.300;-999;   3.6;  11.4; 1015.65;   20.2;   52.71;   28.7;    9.7;    7.2;eor
       4642;20180823;   10;  10.7;   2.5;    3;   1.5;   6;   11.650;-999;   4.4;  14.2; 1008.11;   23.5;   51.54;   31.9;   14.7;   12.9;eor
       4642;20180824;   10;  11.5;   4.0;    3;   0.0;   0;    4.833;-999;   6.5;  13.8; 1005.96;   18.5;   65.08;   22.5;   13.5;   11.5;eor
       4642;20180825;   10;  13.2;   3.7;    3;   0.8;   6;    2.917;-999;   6.4;  10.6; 1006.51;   14.3;   65.96;   19.7;   10.0;    8.5;eor
       4642;20180826;   10;  10.3;   3.9;    3;   0.0;   6;    9.183;-999;   5.4;   9.4; 1011.77;   14.3;   60.71;   22.0;    8.6;    7.6;eor
       4642;20180827;   10;  11.4;   3.7;    3;   3.6;   6;    0.950;-999;   7.7;  13.1; 1008.82;   16.0;   70.92;   21.6;   13.3;   12.2;eor
       4642;20180828;   10;   8.3;   2.5;    3;   0.0;   0;    7.283;-999;  -999;  13.7; 1016.18;   16.6;   74.71;   23.6;    9.7;    8.0;eor
       4642;20180829;   10;  10.7;   3.1;    3;   3.3;   6;   12.067;-999;  -999;  12.3; 1012.05;   19.3;   60.25;   28.3;    8.3;    5.9;eor
       4642;20180830;   10;  11.2;   4.6;    3;   2.1;   6;    0.100;-999;   7.7;  16.2; 1011.37;   16.6;   85.54;   19.4;   12.7;   11.8;eor
       4642;20180831;   10;   8.9;   3.8;    3;   0.0;   0;    9.033;-999;   5.5;  11.4; 1017.89;   14.6;   70.38;   20.7;    9.9;    8.9;eor
       4642;20180901;   10;   8.6;   2.7;    3;   0.0;   0;    6.133;-999;   3.0;  12.6; 1022.49;   15.1;   76.08;   23.3;    9.4;    7.3;eor
       4642;20180902;   10;   8.8;   3.4;    3;   0.0;   6;    5.983;-999;   5.3;  14.0; 1022.60;   16.9;   73.67;   23.0;    6.4;    4.9;eor
