STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3513;20180704;   10;   8.8;   2.7;    3;   0.0;   6;    9.083;-999;   6.8;   8.8;  919.28;   19.9;   37.88;   25.2;   13.8;    7.4;eor
       3513;20180705;   10;  11.7;   3.2;    3;   7.9;   6;    8.650;-999;   5.5;  13.6;  917.25;   18.7;   66.13;   25.8;   13.4;   10.0;eor
       3513;20180706;   10;  10.6;   3.4;    3;   0.0;   0;    9.650;-999;   5.2;  13.5;  920.81;   15.4;   77.92;   20.1;   11.2;    8.7;eor
       3513;20180707;   10;   9.1;   3.2;    3;   0.0;   0;   15.217;-999;   2.0;   7.6;  924.14;   15.0;   46.67;   21.0;    7.7;    4.1;eor
       3513;20180708;   10;   9.4;   3.0;    3;   0.0;   0;   12.767;-999;   3.7;  11.1;  924.25;   15.7;   63.00;   20.6;   10.1;    7.8;eor
       3513;20180709;   10;  10.8;   3.0;    3;   4.0;   6;    9.383;-999;   5.3;  11.1;  922.83;   15.8;   63.58;   21.1;   11.4;    8.6;eor
       3513;20180710;   10;   8.6;   2.1;    3;   4.4;   6;    0.850;-999;   7.8;  11.1;  918.21;   11.4;   82.71;   13.9;    8.6;    9.0;eor
       3513;20180711;   10;   5.3;   1.8;    3;  16.6;   6;    1.550;-999;   7.6;  11.7;  917.65;   10.3;   93.50;   14.1;    8.7;    8.7;eor
       3513;20180712;   10;   9.3;   2.9;    3;   0.1;   6;    3.900;-999;   7.8;  13.0;  919.58;   13.1;   86.42;   18.5;    9.6;    9.8;eor
       3513;20180713;   10;   7.3;   2.6;    3;   0.1;   6;    9.767;-999;   4.2;  12.2;  922.56;   17.2;   64.63;   22.0;   11.6;    8.6;eor
       3513;20180714;   10;   7.5;   2.7;    3;   0.0;   0;   12.683;-999;   3.2;  11.6;  922.38;   17.6;   59.17;   22.3;   12.1;    9.8;eor
       3513;20180715;   10;   8.0;   2.7;    3;   0.0;   6;    7.867;-999;   4.6;  12.7;  920.07;   17.1;   65.50;   22.3;   12.7;   10.4;eor
       3513;20180716;   10;  10.9;   1.9;    3;  15.5;   8;    4.733;-999;   6.7;  13.3;  918.08;   15.3;   76.29;   20.2;   12.1;    9.4;eor
       3513;20180717;   10;  12.1;   3.3;    3;   0.0;   0;   12.200;-999;   4.3;  10.8;  918.15;   19.3;   50.17;   24.9;   13.1;    8.2;eor
       3513;20180718;   10;   9.1;   3.5;    3;   0.0;   0;   12.300;-999;   2.9;  11.8;  920.50;   18.0;   58.25;   22.6;   13.4;   11.2;eor
       3513;20180719;   10;   7.4;   2.7;    3;   0.0;   0;   14.817;-999;   1.9;   9.8;  921.08;   17.0;   52.54;   22.3;   10.6;    7.7;eor
       3513;20180720;   10;   7.1;   2.3;    3;   0.0;   0;   11.300;-999;   6.0;  10.2;  918.38;   19.1;   46.92;   24.0;   12.2;    7.6;eor
       3513;20180721;   10;   7.1;   2.6;    3;  11.5;   6;    0.033;-999;   7.5;  14.1;  916.24;   15.3;   81.88;   17.7;   12.9;   11.3;eor
       3513;20180722;   10;   5.3;   1.7;    3;   0.0;   6;    0.783;-999;   7.9;  14.6;  918.31;   15.4;   83.46;   18.9;   13.0;   13.0;eor
       3513;20180723;   10;   8.0;   2.4;    3;   0.0;   0;    7.517;-999;   3.9;  13.8;  920.87;   18.7;   65.50;   23.4;   13.6;   11.6;eor
       3513;20180724;   10;   7.3;   2.8;    3;   0.0;   0;   14.617;-999;   0.2;  12.8;  920.26;   21.4;   51.63;   26.3;   15.4;   11.2;eor
       3513;20180725;   10;   8.9;   2.9;    3;   0.0;   0;   12.833;-999;   1.3;  13.7;  920.37;   22.7;   50.38;   26.9;   17.6;   13.0;eor
       3513;20180726;   10;   9.3;   3.5;    3;   0.0;   0;   13.600;-999;   1.1;  12.9;  921.09;   22.2;   49.33;   26.4;   17.2;   12.7;eor
       3513;20180727;   10;  10.3;   3.1;    3;   0.0;   6;    7.733;-999;   2.2;  14.0;  918.98;   21.0;   56.75;   25.7;   16.7;   11.6;eor
       3513;20180728;   10;  18.2;   3.5;    3;  18.2;   8;    9.517;-999;   4.3;  14.8;  915.50;   20.1;   64.92;   27.2;   14.5;   11.4;eor
       3513;20180729;   10;   6.8;   2.4;    3;   0.0;   6;    5.183;-999;   7.1;  15.2;  919.99;   19.4;   70.33;   24.6;   13.7;   12.5;eor
       3513;20180730;   10;   8.0;   2.1;    3;   0.0;   0;   10.867;-999;   3.8;  13.6;  921.32;   23.8;   47.88;   29.1;   18.3;   13.5;eor
       3513;20180731;   10;   9.3;   2.7;    3;   0.0;   0;   13.133;-999;   1.1;  13.4;  921.80;   25.3;   43.21;   31.1;   19.2;   14.0;eor
       3513;20180801;   10;   9.1;   3.5;    3;   2.5;   6;    2.733;-999;   6.8;  16.8;  924.16;   19.1;   76.04;   21.8;   16.5;   16.0;eor
       3513;20180802;   10;  12.4;   4.0;    3;   0.3;   6;    7.333;-999;   4.5;  17.8;  926.21;   19.7;   77.50;   23.6;   16.9;   16.4;eor
       3513;20180803;   10;   8.0;   3.2;    3;   2.1;   6;   12.283;-999;   1.3;  18.0;  925.53;   22.3;   68.13;   27.6;   16.9;   15.2;eor
       3513;20180804;   10;   7.9;   2.4;    3;   8.8;   6;    9.450;-999;   5.0;  16.8;  922.82;   23.2;   61.21;   28.3;   18.0;   15.6;eor
       3513;20180805;   10;   9.5;   3.2;    3;   0.0;   0;    8.883;-999;   5.7;  15.2;  923.83;   17.9;   75.29;   21.9;   13.9;   11.4;eor
       3513;20180806;   10;   7.0;   2.6;    3;   0.0;   0;   14.150;-999;   0.2;  10.3;  922.13;   19.9;   47.67;   27.1;   12.0;    8.8;eor
