STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4625;20180704;   10;   8.8;-999;    3;   0.0;   0;   15.850;-999;  -999;  -999; 1006.98;   19.5;-999;   27.5;   12.1;    9.3;eor
       4625;20180705;   10;  10.6;   3.4;    3;   0.0;   6;   12.083;-999;   4.7;  14.5; 1005.33;   18.7;   68.29;   23.7;   14.2;   11.8;eor
       4625;20180706;   10;  13.2;   5.1;    3;   0.0;   0;    9.917;-999;   4.3;  11.9; 1008.76;   18.2;   59.33;   24.2;   12.7;   11.3;eor
       4625;20180707;   10;  12.9;   5.1;    3;   0.0;   0;   14.833;-999;   3.0;  11.9; 1012.45;   17.6;   61.21;   23.6;   12.1;   10.9;eor
       4625;20180708;   10;   7.8;   3.2;    3;   0.0;   0;   13.317;-999;   3.5;  14.0; 1013.72;   19.4;   63.42;   25.6;   13.3;   12.6;eor
       4625;20180709;   10;  12.8;   4.6;    3;   0.0;   6;    2.933;-999;   6.4;  12.1; 1011.46;   15.9;   67.83;   21.6;   11.7;    9.6;eor
       4625;20180710;   10;   7.8;   2.8;    3;  22.5;   8;    3.900;-999;   7.2;  11.8; 1008.69;   16.1;   66.58;   21.4;   10.9;    9.6;eor
       4625;20180711;   10;   7.9;   2.6;    3;   4.8;   6;    0.167;-999;   7.8;  17.7; 1007.97;   16.9;   91.58;   19.5;   14.8;   14.7;eor
       4625;20180712;   10;  10.6;   3.1;    3;   0.0;   0;   10.350;-999;   5.8;  16.3; 1007.95;   20.6;   69.50;   26.2;   16.4;   15.1;eor
       4625;20180713;   10;   8.9;   3.7;    3;   0.0;   0;   11.633;-999;   3.6;  15.6; 1010.72;   19.6;   70.54;   26.1;   14.0;   12.8;eor
       4625;20180714;   10;   8.8;   2.9;    3;   0.0;   0;    0.183;-999;   7.0;  12.8; 1012.51;   16.3;   69.50;   19.5;   12.7;   11.3;eor
       4625;20180715;   10;   7.2;   2.2;    3;   0.0;   0;   12.333;-999;   1.8;  14.0; 1010.95;   18.1;   69.25;   23.5;   11.9;    9.2;eor
