STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3167;20180627;   10;  10.6;   3.9;    3;   0.0;   0;   13.700;-999;   1.5;  11.5;  959.92;   18.1;   57.38;   23.4;   12.8;   11.0;eor
       3167;20180628;   10;  11.9;   4.5;    3;   0.0;   0;   13.117;-999;   2.3;  11.7;  958.08;   19.1;   53.50;   24.5;   14.1;   12.0;eor
       3167;20180629;   10;   8.9;   3.5;    3;   0.0;   0;   13.783;-999;   2.1;  12.0;  954.40;   21.5;   48.33;   27.5;   16.3;   14.9;eor
       3167;20180630;   10;  13.1;   4.7;    3;   0.0;   0;   15.083;-999;   0.1;  10.7;  952.79;   19.7;   47.17;   24.7;   14.4;   12.7;eor
       3167;20180701;   10;  16.6;   5.7;    3;   0.0;   0;   15.083;-999;   0.2;   7.4;  953.83;   16.9;   39.04;   21.8;   11.8;    9.9;eor
       3167;20180702;   10;  10.9;   4.2;    3;   0.0;   0;   15.083;-999;   0.1;   7.7;  953.17;   18.0;   38.50;   24.1;   12.0;    9.7;eor
       3167;20180703;   10;   6.7;   2.7;    3;   0.0;   0;   15.083;-999;   0.6;   7.6;  953.65;   20.7;   31.83;   27.0;   13.9;   10.1;eor
       3167;20180704;   10;   9.2;   1.8;    3;   0.0;   6;    3.567;-999;   6.9;  12.7;  952.19;   20.9;   52.13;   25.8;   16.0;   12.3;eor
       3167;20180705;   10;  10.1;   2.0;    3;   2.7;   6;    5.367;-999;   4.9;  16.6;  951.20;   18.4;   78.83;   23.4;   15.3;   12.4;eor
       3167;20180706;   10;  10.2;   3.4;    3;   0.0;   0;    9.383;-999;   4.2;  14.0;  956.14;   17.2;   73.08;   22.0;   12.7;   10.9;eor
       3167;20180707;   10;  10.0;   2.5;    3;   0.0;   0;   11.667;-999;   4.2;  11.2;  959.11;   18.6;   53.17;   24.1;   13.9;    9.4;eor
       3167;20180708;   10;   8.5;   3.2;    3;   0.0;   0;   14.917;-999;   0.2;   9.5;  959.47;   17.0;   52.00;   23.0;   11.4;    7.1;eor
       3167;20180709;   10;  11.0;   3.5;    3;   0.1;   6;   10.133;-999;   3.5;  11.9;  958.05;   16.7;   63.21;   21.6;   11.9;    9.6;eor
       3167;20180710;   10;  10.4;   3.5;    3;   2.0;   6;    0.850;-999;   7.8;  11.8;  953.10;   12.2;   83.25;   15.3;    9.9;    9.9;eor
       3167;20180711;   10;   8.5;   2.9;    3;   9.0;   6;    1.300;-999;   7.3;  13.1;  952.77;   12.6;   90.21;   16.2;    9.5;    9.2;eor
       3167;20180712;   10;   7.5;   2.8;    3;   0.0;   0;    5.100;-999;   6.0;  14.7;  954.80;   16.2;   81.04;   22.4;   12.4;   11.7;eor
       3167;20180713;   10;   6.9;   2.6;    3;   0.0;   0;    9.017;-999;   3.0;  13.4;  956.83;   19.0;   62.08;   24.4;   14.5;   11.3;eor
       3167;20180714;   10;   7.5;   2.4;    3;   0.0;   0;   10.500;-999;   3.1;  13.0;  956.09;   20.0;   56.58;   26.0;   15.9;   13.7;eor
       3167;20180715;   10;   7.8;   2.6;    3;   0.2;   6;   13.233;-999;   1.7;  11.3;  953.38;   20.6;   48.63;   26.3;   15.0;   13.0;eor
       3167;20180716;   10;   8.5;   2.5;    3;   0.0;   6;   10.067;-999;   3.5;  11.6;  950.85;   20.3;   49.25;   26.9;   15.4;   12.5;eor
       3167;20180717;   10;  11.0;   2.6;    3;   0.1;   6;   10.083;-999;   3.5;  12.5;  952.46;   20.4;   53.38;   26.6;   14.9;   11.9;eor
       3167;20180718;   10;   8.2;   3.1;    3;   0.0;   0;   14.533;-999;   0.8;  11.5;  955.20;   18.3;   56.88;   24.0;   12.7;   11.4;eor
       3167;20180719;   10;   7.9;   2.7;    3;   0.0;   0;   10.550;-999;   2.6;  10.8;  954.96;   20.2;   46.83;   25.5;   14.8;   12.9;eor
       3167;20180720;   10;   7.5;   2.9;    3;   8.3;   8;    7.967;-999;   5.3;  10.8;  950.98;   21.9;   41.75;   27.7;   16.5;   13.7;eor
       3167;20180721;   10;  11.0;   2.5;    3;   3.7;   6;    1.900;-999;   7.3;  15.6;  949.27;   18.6;   73.58;   22.8;   14.5;   14.2;eor
       3167;20180722;   10;   7.7;   2.6;    3;   0.0;   0;    9.833;-999;   4.6;  15.2;  951.88;   19.5;   68.54;   24.9;   15.0;   14.6;eor
       3167;20180723;   10;   6.7;   2.5;    3;   0.0;   0;   10.833;-999;   2.1;  14.6;  954.65;   21.2;   58.92;   25.8;   15.8;   13.2;eor
       3167;20180724;   10;   7.1;   2.5;    3;   0.0;   0;   14.133;-999;   1.0;  12.6;  952.85;   24.9;   40.92;   29.7;   19.5;   16.2;eor
       3167;20180725;   10;  10.7;   2.1;    3;   0.0;   6;    6.617;-999;   4.6;  13.6;  953.05;   26.2;   40.00;   30.4;   21.7;   16.6;eor
       3167;20180726;   10;   9.3;   3.6;    3;   0.0;   0;   13.650;-999;   1.8;  12.8;  953.34;   27.0;   36.46;   32.3;   22.1;   19.7;eor
       3167;20180727;   10;  10.1;   3.7;    3;   0.0;   0;   14.283;-999;   0.5;  11.8;  950.83;   26.2;   35.42;   31.5;   21.1;   18.3;eor
       3167;20180728;   10;  15.7;   2.5;    3;  11.5;   8;    3.767;-999;   4.0;  16.6;  947.94;   20.0;   72.00;   25.7;   16.4;   13.8;eor
       3167;20180729;   10;  10.3;   3.7;    3;   0.0;   0;    4.433;-999;   5.8;  15.2;  952.01;   20.9;   64.08;   27.0;   15.6;   14.2;eor
       3167;20180730;   10;   7.4;   1.9;    3;   0.0;   0;   10.200;-999;   3.5;  14.3;  953.63;   25.1;   45.13;   29.5;   20.3;   14.2;eor
       3167;20180731;   10;   9.4;   2.8;    3;   1.1;   6;   12.300;-999;   3.0;  15.2;  954.70;   25.3;   47.83;   30.6;   20.0;   15.9;eor
       3167;20180801;   10;   7.7;   2.6;    3;   3.1;   6;    4.200;-999;   6.4;  17.9;  957.99;   20.1;   76.38;   25.8;   17.4;   16.1;eor
       3167;20180802;   10;   7.1;   2.4;    3;   0.0;   0;   11.483;-999;   1.9;  16.9;  959.21;   24.4;   56.75;   30.4;   18.0;   15.5;eor
       3167;20180803;   10;   7.1;   3.0;    3;   0.0;   0;   13.217;-999;   1.4;  15.6;  958.30;   26.7;   46.46;   32.6;   21.1;   19.2;eor
       3167;20180804;   10;   8.5;   3.0;    3;   0.0;   0;    9.967;-999;   2.4;  14.9;  956.18;   26.0;   45.71;   31.6;   19.7;   18.3;eor
       3167;20180805;   10;   9.0;   3.5;    3;   0.0;   0;   12.733;-999;   1.2;  14.3;  957.95;   20.8;   60.08;   26.4;   16.6;   15.8;eor
       3167;20180806;   10;   9.3;   3.2;    3;   0.0;   0;   12.333;-999;   2.1;  12.6;  954.15;   23.5;   45.00;   30.1;   16.3;   14.2;eor
       3167;20180807;   10;  12.6;   3.6;    3;   1.0;   6;   11.567;-999;   2.5;  15.0;  949.19;   26.8;   43.58;   33.2;   20.6;   15.1;eor
       3167;20180808;   10;  13.7;   3.8;    3;   0.0;   6;    4.700;-999;   4.9;  16.8;  950.56;   21.0;   68.42;   25.5;   16.9;   15.3;eor
       3167;20180809;   10;  17.4;   5.3;    3;  15.3;   8;    4.050;-999;   5.4;  16.6;  950.64;   19.7;   74.63;   29.5;   13.6;   13.0;eor
       3167;20180810;   10;  12.7;   4.1;    3;   0.1;   6;    9.800;-999;   4.2;  10.1;  958.27;   15.1;   61.21;   21.0;   10.5;    8.2;eor
       3167;20180811;   10;  10.9;   2.8;    3;   0.0;   0;    9.167;-999;   4.7;   9.6;  958.60;   15.3;   56.67;   20.0;   11.4;    8.1;eor
       3167;20180812;   10;   9.0;   2.5;    3;   0.2;   6;   11.733;-999;   2.7;   9.2;  953.20;   18.0;   45.54;   24.3;   12.1;    7.6;eor
       3167;20180813;   10;  12.8;   3.5;    3;  17.2;   8;    1.817;-999;   5.3;  14.4;  946.40;   15.9;   80.83;   21.0;   12.7;   12.3;eor
       3167;20180814;   10;  10.5;   2.9;    3;   0.7;   6;    1.183;-999;   7.6;  16.1;  951.69;   15.4;   92.21;   20.1;   13.5;   13.6;eor
       3167;20180815;   10;   7.3;   1.6;    3;   0.0;   0;    0.850;-999;   7.0;  14.2;  956.63;   16.7;   75.42;   20.7;   13.3;   11.4;eor
       3167;20180816;   10;   6.5;   2.2;    3;   0.0;   0;   13.517;-999;   0.8;  13.7;  953.73;   20.2;   59.79;   26.2;   14.1;   10.6;eor
       3167;20180817;   10;  10.8;   3.5;    3;   0.0;   0;    7.700;-999;   3.7;  14.8;  954.10;   18.3;   70.83;   23.8;   13.3;   10.2;eor
       3167;20180818;   10;   6.7;   2.3;    3;   0.0;   0;   12.917;-999;   1.4;  11.5;  958.72;   17.5;   60.21;   23.3;   11.9;    8.5;eor
       3167;20180819;   10;  10.5;   3.0;    3;   0.0;   6;   13.417;-999;   1.4;  13.1;  957.78;   19.4;   59.00;   25.6;   13.3;    9.3;eor
       3167;20180820;   10;   7.1;   2.4;    3;   0.0;   6;    0.617;-999;   6.3;  16.4;  956.86;   17.9;   80.04;   21.1;   15.6;   13.5;eor
       3167;20180821;   10;   7.2;   2.1;    3;   0.0;   0;    2.517;-999;   7.0;  15.6;  957.31;   19.6;   69.83;   24.4;   15.7;   15.0;eor
       3167;20180822;   10;   8.7;   3.2;    3;   0.0;   0;   11.917;-999;   1.5;  15.0;  954.50;   22.6;   56.42;   28.9;   17.1;   14.4;eor
       3167;20180823;   10;   9.4;   3.0;    3;   0.8;   6;   10.183;-999;   1.9;  16.2;  950.65;   20.8;   67.33;   27.1;   16.4;   13.2;eor
       3167;20180824;   10;  11.2;   3.1;    3;   1.0;   6;    3.283;-999;   7.1;  11.7;  949.08;   14.7;   70.00;   17.9;   11.2;    9.4;eor
       3167;20180825;   10;  14.1;   3.2;    3;   2.4;   6;    2.267;-999;   6.1;  10.0;  948.90;    9.9;   82.42;   13.7;    7.0;    5.0;eor
