STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        760;20180630;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  10.9;    -999;   17.6;   56.17;   23.0;   11.4;    9.2;eor
        760;20180701;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;   9.4;    -999;   16.8;   51.25;   22.3;   10.3;    7.6;eor
        760;20180702;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  10.2;    -999;   17.5;   53.50;   24.2;    9.6;    6.6;eor
        760;20180703;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  12.3;    -999;   17.7;   63.67;   24.9;   10.0;    8.6;eor
        760;20180704;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  12.8;    -999;   18.1;   66.00;   26.9;    8.1;    7.1;eor
        760;20180705;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  14.6;    -999;   17.3;   75.00;   22.3;   12.4;   12.0;eor
        760;20180706;-999;-999;-999;    3;   0.2;   4;-999;-999;  -999;  12.9;    -999;   16.6;   70.58;   21.8;   11.6;   10.3;eor
        760;20180707;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  12.3;    -999;   16.1;   69.04;   21.4;   10.7;    9.6;eor
        760;20180708;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  13.6;    -999;   17.0;   71.33;   23.3;   11.2;   10.1;eor
        760;20180709;-999;-999;-999;    3;   3.9;   4;-999;-999;  -999;  12.8;    -999;   14.8;   76.92;   20.7;    9.5;    8.5;eor
        760;20180710;-999;-999;-999;    3;   2.7;   4;-999;-999;  -999;  12.9;    -999;   14.4;   79.88;   18.8;   11.1;   10.8;eor
        760;20180711;-999;-999;-999;    3;  24.6;   4;-999;-999;  -999;  16.8;    -999;   15.7;   94.00;   19.1;   13.0;   11.7;eor
        760;20180712;-999;-999;-999;    3;   0.4;   4;-999;-999;  -999;  16.6;    -999;   18.9;   78.00;   25.3;   14.4;   13.9;eor
        760;20180713;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  15.0;    -999;   16.6;   79.75;   22.3;   12.3;   11.0;eor
        760;20180714;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  13.4;    -999;   15.4;   77.88;   20.3;   10.3;    9.3;eor
        760;20180715;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  13.9;    -999;   16.9;   74.54;   23.8;    8.3;    7.6;eor
        760;20180716;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  14.6;    -999;   19.8;   65.96;   26.8;   11.4;   10.3;eor
        760;20180717;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  15.5;    -999;   22.2;   61.25;   29.6;   13.3;   12.0;eor
        760;20180718;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  15.1;    -999;   18.3;   73.42;   23.7;   13.0;   11.3;eor
        760;20180719;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  13.2;    -999;   18.1;   66.08;   24.3;   12.3;   10.3;eor
        760;20180720;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  11.9;    -999;   18.6;   57.88;   24.9;   12.1;   11.0;eor
        760;20180721;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  13.4;    -999;   20.0;   58.08;   25.5;   12.3;   10.9;eor
        760;20180722;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  15.4;    -999;   21.1;   63.88;   28.0;   13.3;   12.3;eor
        760;20180723;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  16.2;    -999;   20.0;   71.79;   27.1;   11.7;   11.0;eor
        760;20180724;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  17.6;    -999;   24.4;   60.88;   32.1;   14.4;   13.6;eor
        760;20180725;-999;-999;-999;    3;   0.2;   4;-999;-999;  -999;  19.4;    -999;   25.5;   61.63;   33.6;   18.2;   17.0;eor
        760;20180726;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  18.1;    -999;   26.2;   56.17;   32.6;   17.2;   15.9;eor
        760;20180727;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  18.0;    -999;   25.6;   56.63;   31.4;   19.1;   16.9;eor
        760;20180728;-999;-999;-999;    3;  11.2;   4;-999;-999;  -999;  19.5;    -999;   22.2;   75.54;   31.4;   16.5;   15.8;eor
        760;20180729;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  16.1;    -999;   21.1;   67.38;   28.6;   12.6;   11.9;eor
        760;20180730;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  18.1;    -999;   24.7;   59.38;   30.7;   19.0;   16.9;eor
        760;20180731;-999;-999;-999;    3;   0.7;   4;-999;-999;  -999;  18.3;    -999;   25.8;   56.46;   33.0;   19.3;   17.2;eor
        760;20180801;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  16.9;    -999;   22.2;   65.13;   28.1;   16.7;   16.2;eor
        760;20180802;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  16.2;    -999;   23.7;   57.38;   30.7;   16.1;   15.6;eor
