STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2261;20180630;   10;  11.9;   3.8;    3;   0.0;   0;   11.150;-999;   1.8;   9.4;  951.51;   16.0;   54.04;   20.4;    9.6;    5.0;eor
       2261;20180701;   10;   8.9;   2.8;    3;   0.0;   0;   14.867;-999;   0.1;   7.6;  952.97;   14.0;   49.29;   19.8;    6.9;    2.1;eor
       2261;20180702;   10;   7.8;   2.1;    3;   0.0;   0;   15.067;-999;   0.0;   7.4;  951.70;   15.0;   46.25;   21.7;    6.3;    1.4;eor
       2261;20180703;   10;   6.6;   1.4;    3;   0.0;   0;   15.033;-999;   0.2;   7.3;  951.74;   17.5;   40.13;   25.2;    7.2;    2.3;eor
       2261;20180704;   10;   8.0;   1.8;    3;   0.0;   0;   11.800;-999;   6.2;   9.0;  950.05;   20.9;   39.38;   27.5;   10.4;    5.8;eor
       2261;20180705;   10;  12.6;   2.4;    3;   0.9;   4;    8.700;-999;   5.2;  14.0;  947.97;   20.3;   60.92;   27.9;   14.3;   10.2;eor
       2261;20180706;   10;   8.9;   3.0;    3;   0.0;   6;    7.450;   0;   4.8;  13.9;  951.85;   17.6;   70.38;   22.8;   13.3;   10.9;eor
       2261;20180707;   10;   8.7;   3.1;    3;   0.0;   0;   14.950;   0;   1.7;   7.8;  955.35;   17.4;   42.67;   23.8;    9.5;    5.0;eor
       2261;20180708;   10;   8.6;   2.4;    3;   0.0;   0;   10.383;   0;   4.4;  11.3;  955.53;   17.3;   57.46;   22.9;   11.0;    6.9;eor
       2261;20180709;   10;   9.3;   2.5;    3;   1.8;   6;   10.050;   0;   4.5;  11.8;  953.87;   18.2;   58.33;   24.2;   13.2;    8.8;eor
       2261;20180710;   10;   7.2;   1.6;    3;   2.8;   6;    0.350;   0;   7.6;  12.4;  949.79;   13.9;   78.58;   15.9;   11.9;   10.1;eor
       2261;20180711;   10;   5.9;   1.5;    3;   5.5;   6;    2.283;   0;   7.2;  12.2;  949.34;   12.6;   83.96;   17.2;   11.0;    8.7;eor
       2261;20180712;   10;   9.0;   2.6;    3;   0.0;   6;    2.633;-999;   7.5;  13.0;  950.87;   15.4;   75.75;   21.6;   11.2;   10.6;eor
       2261;20180713;   10;   7.2;   2.3;    3;   0.2;   6;    8.583;-999;   4.1;  13.1;  953.54;   18.8;   62.29;   24.4;   12.1;    9.2;eor
       2261;20180714;   10;   7.7;   2.0;    3;   0.0;   0;   12.217;-999;   2.1;  11.9;  953.51;   19.3;   55.67;   24.8;   13.6;   10.0;eor
       2261;20180715;   10;   7.2;   1.8;    3;   2.2;   6;    7.817;-999;   4.3;  13.5;  951.10;   18.2;   66.21;   25.0;   12.1;    8.2;eor
       2261;20180716;   10;   6.4;   1.6;    3;   0.0;   6;    3.950;-999;   6.3;  14.5;  949.05;   17.7;   73.21;   23.8;   13.1;   10.1;eor
       2261;20180717;   10;  11.3;   2.9;    3;   0.0;   6;   10.767;-999;   2.5;  11.5;  948.55;   20.5;   52.63;   27.7;   11.4;    7.4;eor
       2261;20180718;   10;   9.2;   3.5;    3;   0.0;   0;    9.617;-999;   3.2;  11.9;  951.02;   20.5;   50.08;   25.4;   14.9;   11.0;eor
       2261;20180719;   10;   7.9;   2.4;    3;   0.0;   0;   14.417;-999;   1.8;  10.4;  952.08;   18.9;   49.88;   25.6;   12.6;    8.4;eor
       2261;20180720;   10;   5.9;   1.5;    3;   0.0;   6;   12.517;-999;   4.8;  10.8;  949.24;   20.7;   47.79;   27.3;   11.3;    7.3;eor
